"","hemisphere_id","id","is_injection","max_voxel_density","max_voxel_x","max_voxel_y","max_voxel_z","normalized_projection_volume","projection_density","projection_energy","projection_intensity","projection_volume","section_data_set_id","structure_id","sum_pixel_intensity","sum_pixels","sum_projection_pixel_intensity","sum_projection_pixels","volume","structure.acronym","structure.atlas_id","structure.color_hex_triplet","structure.depth","structure.failed","structure.failed_facet","structure.graph_id","structure.graph_order","structure.hemisphere_id","structure.id","structure.name","structure.neuro_name_structure_id","structure.neuro_name_structure_id_path","structure.ontology_id","structure.parent_structure_id","structure.safe_name","structure.sphinx_id","structure.st_level","structure.structure_id_path","structure.structure_name_facet","structure.weight"
"1",1,633820753,FALSE,0.49528905749321,6490,5700,5030,0.014634050159841,3.4543468230266e-05,0.00795021637542652,230.151075810644,0.000675555236448844,147134401,1129,1662301982912,15964629224,126922256.684258,551473.662407219,19.5566707994,"IB",140,"FF7080",3,FALSE,734881840,1,640,3,1129,"Interbrain",NA,NA,1,343,"Interbrain",641,3,"/997/8/343/1129/",3609083732,8690
"2",3,633821585,FALSE,0,0,0,0,0,0,0,0,0,147134401,30,3263778176,45703800,0,0,0.055987155,"PVa",286,"FF5D50",6,FALSE,734881840,1,731,3,30,"Periventricular hypothalamic nucleus, anterior part",NA,NA,1,157,"Periventricular hypothalamic nucleus anterior part",732,9,"/997/8/343/1129/1097/157/30/",4028794868,8690
"3",2,633820314,FALSE,0.431705564260483,7880,6180,7090,0.0115050641558852,0.000146042311999069,0.0284585002584055,194.864761238421,0.000531111090319824,147134401,726,289577859072,2968729184,84485580.25,433560.073730469,3.6366932504,"DG",90,"7ED04B",7,FALSE,734881840,1,473,3,726,"Dentate gyrus",NA,NA,1,1080,"Dentate gyrus",474,8,"/997/8/567/688/695/1089/1080/726/",1938098114,8690
"4",1,633821294,FALSE,0.36285001039505,4620,4120,1410,0.0101872234098714,9.45987759607918e-05,0.0184475864799617,195.008722814845,0.000470275285668945,147134401,378,660621611520,4058172936,74863496.1875,383898.192382812,4.9712618466,"SSs",754,"188064",7,FALSE,734881840,1,100,3,378,"Supplemental somatosensory area",NA,NA,1,453,"Supplemental somatosensory area",101,8,"/997/8/567/688/695/315/453/378/",713142416,8690
"5",3,633821931,FALSE,0.184905305504799,6700,5740,8560,0.000505063772674961,6.83684830919296e-05,0.0188375521248671,275.529765660264,2.33153824569702e-05,147134401,544,44157837312,278388000,5244148.4609375,19032.9652709961,0.3410253,"CEAc",67,"80C0E2",7,FALSE,734881840,1,596,3,544,"Central amygdalar nucleus, capsular part",NA,NA,1,536,"Central amygdalar nucleus capsular part",597,9,"/997/8/567/623/477/278/536/544/",4187015181,8690
"6",2,633821375,FALSE,0,0,0,0,0,0,0,0,0,147134401,312782582,6511725056,52763400,0,0,0.064635165,"VISli2/3",NA,"08858C",8,FALSE,734881840,1,208,3,312782582,"Laterointermediate area, layer 2/3",NA,NA,1,312782574,"Laterointermediate area layer 2/3",209,11,"/997/8/567/688/695/315/669/312782574/312782582/",3431444904,8690
"7",1,633820986,FALSE,0.00253834435716271,11530,4390,3250,1.5569021921989e-07,3.8921090350641e-08,1.04439750430174e-05,268.337158203125,7.18716566562652e-09,147134401,846,22302474240,150742800,1574.35400390625,5.86707401275635,0.18465993,"DN",105,"FFFDBC",4,FALSE,734881840,1,1099,3,846,"Dentate nucleus",NA,NA,1,519,"Dentate nucleus",1100,8,"/997/8/512/519/846/",928321645,8690
"8",2,633820372,FALSE,0.198471069335938,3670,4480,5720,0.000465320109956806,7.72056373534724e-05,0.0191954467445612,248.627502441406,2.14806860351562e-05,147134401,814,29458771968,227124000,4359746.5,17535.25390625,0.2782269,"DP",384,"A4DAA4",6,FALSE,734881840,1,410,3,814,"Dorsal peduncular area",NA,NA,1,698,"Dorsal peduncular area",411,8,"/997/8/567/688/695/698/814/",327990420,8690
"9",1,633821435,FALSE,0.149494543671608,4550,4570,2260,0.000308672739884853,4.74019434477668e-05,0.0103189600631595,217.690658569336,1.42493351806641e-05,147134401,187,33858021376,245393104,2532201.75,11632.1103515625,0.3006065524,"GU5",1013,"009C75",7,FALSE,734881840,1,111,3,187,"Gustatory areas, layer 5",NA,NA,1,1057,"Gustatory areas layer 5",112,11,"/997/8/567/688/695/315/1057/187/",2330527764,8690
"10",3,633822317,FALSE,0.0913731902837753,3460,3440,5110,0.000134167034908632,2.73935748549047e-05,0.00631235764085293,230.432051102769,6.19358564453125e-06,147134401,1054,23086999552,184568400,1165061.75,5055.98828125,0.22609629,"ILA6a",980,"59B363",7,FALSE,734881840,1,250,3,1054,"Infralimbic area, layer 6a",NA,NA,1,44,"Infralimbic area layer 6a",251,11,"/997/8/567/688/695/315/44/1054/",696971210,8690
"11",2,633820418,FALSE,0.0381636694073677,8980,4400,5940,7.35269493803783e-06,1.2061186054465e-06,0.000129428008334258,107.309519768451,3.39424254608154e-07,147134401,877,7008556199.87933,229729500,29733.431640625,277.081024169922,0.2814186375,"tsp",675,"CCCCCC",3,FALSE,734881840,1,1226,3,877,"tectospinal pathway",NA,NA,1,1000,"tectospinal pathway",1227,8,"/997/1009/1000/877/",1244119023,8690
"12",3,633821588,FALSE,0,0,0,0,0,0,0,0,0,147134401,35,2370850304,29278800,0,0,0.03586653,"III",145,"FF90FF",5,FALSE,734881840,1,854,3,35,"Oculomotor nucleus",NA,NA,1,323,"Oculomotor nucleus",855,8,"/997/8/343/313/323/35/",3545914074,8690
"13",2,633819847,FALSE,0.111598342657089,5810,5620,5760,0.000267713888326212,0.000118776806630194,0.022302670404315,187.769577026367,1.23585416992187e-05,147134401,38,8265923584,84937504,1894333.125,10088.60546875,0.1040484424,"PVH",287,"FF5D50",6,FALSE,734881840,1,720,3,38,"Paraventricular hypothalamic nucleus",NA,NA,1,157,"Paraventricular hypothalamic nucleus",721,8,"/997/8/343/1129/1097/157/38/",3443963014,8690
"14",2,633820267,FALSE,0.219646975398064,2640,3260,8570,0.00321828377339566,0.000116146024083719,0.0236742459237576,203.831741333008,0.000148566420898437,147134401,656,109979000832,1044191680,24720450,121278.7109375,1.279134808,"MOs1",930,"1F9D5A",8,FALSE,734881840,1,25,3,656,"Secondary motor area, layer 1",NA,NA,1,993,"Secondary motor area layer 1",26,11,"/997/8/567/688/695/315/500/993/656/",4032915713,8690
"15",1,633820902,FALSE,0.145650699734688,2000,3540,5520,0.000545449310408767,0.00340165919624269,0.749045550823212,220.200057983398,2.51797099121094e-05,147134401,949,406791744,6042600,4526182.5,20554.865234375,0.007402185,"von",684,"CCCCCC",3,FALSE,734881840,1,1104,3,949,"vomeronasal nerve",NA,NA,1,967,"vomeronasal nerve",1105,8,"/997/1009/967/949/",277092608,8690
"16",3,633822090,FALSE,0.357388019561768,5610,2350,6650,0.00918914458488291,4.93260307861658e-05,0.0115064258918267,233.272892799918,0.000424200728779697,147134401,776,213560511488,7020356264,80779209.0859375,346286.309207916,8.5999364234,"cc",662,"CCCCCC",3,FALSE,734881840,1,1191,3,776,"corpus callosum",NA,NA,1,983,"corpus callosum",1192,8,"/997/1009/983/776/",3022588286,8690
"17",1,633821054,FALSE,0.0103218723088503,11360,3860,5460,1.58634647714144e-06,1.98465954781568e-06,0.000191945087863132,96.7143630981445,7.32309003829956e-08,147134401,744,9266801,30121200,5781.6162109375,59.7803268432617,0.03689847,"cbc",658,"CCCCCC",3,FALSE,734881840,1,1172,3,744,"cerebellar commissure",NA,NA,1,960,"cerebellar commissure",1173,8,"/997/1009/960/744/",137458081,8690
"18",2,633820262,FALSE,0,0,0,0,0,0,0,0,0,147134401,649,769900416,10012500,0,0,0.0122653125,"VISal6b",1071,"08858C",8,FALSE,734881840,1,170,3,649,"Anterolateral visual area, layer 6b",NA,NA,1,402,"Anterolateral visual area layer 6b",171,11,"/997/8/567/688/695/315/669/402/649/",2101231160,8690
"19",2,633820555,FALSE,0,0,0,0,0,0,0,0,0,147134401,1023,41238536192,272100608,0,0,0.3333232448,"AUDv5",976,"019399",8,FALSE,734881840,1,154,3,1023,"Ventral auditory area, layer 5",NA,NA,1,1018,"Ventral auditory area layer 5",155,11,"/997/8/567/688/695/315/247/1018/1023/",2273079219,8690
"20",2,633820588,FALSE,0.73939448595047,10850,3930,6650,0.173475069475065,0.00030471941031772,0.0626413888439847,205.570720876201,0.00800817205743953,147134401,1065,1883873290435.57,21453452228,1343874043.06,6537283.31219554,26.2804789793,"HB",132,"FF9B88",3,FALSE,734881840,1,882,3,1065,"Hindbrain",NA,NA,1,343,"Hindbrain",883,3,"/997/8/343/1065/",1911489865,8690
"21",3,633821980,FALSE,0.337035924196243,10480,3010,6700,0.000657485879379831,4.99246876821936e-05,0.00999380794027492,200.1776757001,3.03516814453125e-05,147134401,616,14526863872,496285184,4959778.8125,24776.8828125,0.6079493504,"CUN",76,"FF90FF",5,FALSE,734881840,1,852,3,616,"Cuneiform nucleus",NA,NA,1,323,"Cuneiform nucleus",853,8,"/997/8/343/313/323/616/",346062242,8690
"22",2,633820442,FALSE,0,0,0,0,0,0,0,0,0,147134401,905,11880221696,89691296,0,0,0.1098718376,"VISal2/3",1103,"08858C",8,FALSE,734881840,1,166,3,905,"Anterolateral visual area, layer 2/3",NA,NA,1,402,"Anterolateral visual area layer 2/3",167,11,"/997/8/567/688/695/315/669/402/905/",125014447,8690
"23",1,633820025,FALSE,0,0,0,0,0,0,0,0,0,147134401,312782554,27695706112,192023104,0,0,0.2352283024,"VISa2/3",NA,"009FAC",8,FALSE,734881840,1,348,3,312782554,"Anterior area, layer 2/3",NA,NA,1,312782546,"Anterior area layer 2/3",349,11,"/997/8/567/688/695/315/22/312782546/312782554/",2789647405,8690
"24",2,633820626,FALSE,0,0,0,0,0,0,0,0,0,147134401,1116,38302000,13062600,0,0,0.016001685,"gVIIn",563,"CCCCCC",4,FALSE,734881840,1,1132,3,1116,"genu of the facial nerve",NA,NA,1,798,"genu of the facial nerve",1133,9,"/997/1009/967/798/1116/",3232359188,8690
"25",1,633821233,FALSE,0.241893604397774,2710,4300,5610,0.0022173589438138,0.000441229611169547,0.100845247507095,228.555038452148,0.000102360483203125,147134401,484,24081897472,189378896,19097962,83559.578125,0.2319891476,"ORBm1",1050,"248A5E",8,FALSE,734881840,1,265,3,484,"Orbital area, medial part, layer 1",NA,NA,1,731,"Orbital area medial part layer 1",266,11,"/997/8/567/688/695/315/714/731/484/",1842613794,8690
"26",3,633821646,FALSE,0.368730098009109,6400,4420,6460,0.00043139359485145,4.39895173025942e-05,0.0131320194693629,298.526109732703,1.99145280212402e-05,147134401,127,44944246784,369559808,4853066.59375,16256.7575683594,0.4527107648,"AM",15,"FF909F",7,FALSE,734881840,1,676,3,127,"Anteromedial nucleus",NA,NA,1,239,"Anteromedial nucleus",677,8,"/997/8/343/1129/549/856/239/127/",70138096,8690
"27",2,633820382,FALSE,0.417083084583282,10720,1110,6320,0.0030789308685529,0.000129230014863424,0.0266477111726999,206.203735351562,0.000142133438671875,147134401,828,76475981824,897835520,23925262,116027.296875,1.099848512,"ICe",810,"FF7AFF",6,FALSE,734881840,1,815,3,828,"Inferior colliculus, external nucleus",NA,NA,1,4,"Inferior colliculus external nucleus",816,9,"/997/8/343/313/339/4/828/",754697579,8690
"28",3,633821882,FALSE,0.488586604595184,4960,2370,2170,0.0631360921585312,7.93390586277583e-05,0.0187296467458912,236.070947523673,0.00291456686294944,147134401,453,4865874490304,29988234000,561669029.353123,2379238.25546893,36.73558665,"SS",339,"188064",6,FALSE,734881840,1,30,3,453,"Somatosensory areas",NA,NA,1,315,"Somatosensory areas",31,6,"/997/8/567/688/695/315/453/",3016301862,8690
"29",3,633821799,FALSE,0,0,0,0,0,0,0,0,0,147134401,330,983626528,27909000,0,0,0.034188525,"RSPd6b",1031,"1AA698",8,FALSE,734881840,1,331,3,330,"Retrosplenial area, dorsal part, layer 6b",NA,NA,1,879,"Retrosplenial area dorsal part layer 6b",332,11,"/997/8/567/688/695/315/254/879/330/",3241479382,8690
"30",1,633820880,FALSE,0.493084132671356,2580,4070,5170,0.00217025458916062,0.000471920793643221,0.131543800234795,278.741271972656,0.000100185993359375,147134401,969,25487357952,173301296,22796710,81784.484375,0.2122940876,"ORBvl1",1111,"248A5E",8,FALSE,734881840,1,273,3,969,"Orbital area, ventrolateral part, layer 1",NA,NA,1,746,"Orbital area ventrolateral part layer 1",274,11,"/997/8/567/688/695/315/714/746/969/",4095217692,8690
"31",1,633820967,FALSE,0.36285001039505,4620,4120,1410,0.00836075468590618,0.00056552275782451,0.100144118070602,177.082382202148,0.00038595956328125,147134401,873,65790308352,557128832,55793176,315069.03125,0.6824828192,"SSs1",1099,"188064",8,FALSE,734881840,1,101,3,873,"Supplemental somatosensory area, layer 1",NA,NA,1,378,"Supplemental somatosensory area layer 1",102,11,"/997/8/567/688/695/315/453/378/873/",697782769,8690
"32",2,633820412,FALSE,0.160443842411041,12480,7310,7310,0.000478073997718397,0.000140882970299572,0.0207630731165409,147.378158569336,2.2069446875e-05,147134401,866,789253760,127878304,2655146.5,18015.875,0.1566509224,"sctv",532,"CCCCCC",5,FALSE,734881840,1,1178,3,866,"ventral spinocerebellar tract",NA,NA,1,326,"ventral spinocerebellar tract",1179,9,"/997/1009/960/752/326/866/",744035824,8690
"33",1,633821457,FALSE,0.22564522922039,11930,5330,5330,0.000694601870605459,0.000212268497906158,0.0580264672391436,273.363536330278,3.20650760253906e-05,147134401,154,14023545344,123313504,7155447,26175.572265625,0.1510590424,"PHY",443,"FFB3D9",6,FALSE,734881840,1,993,3,154,"Perihypoglossal nuclei",NA,NA,1,370,"Perihypoglossal nuclei",994,7,"/997/8/343/1065/354/370/154/",2963771227,8690
"34",3,633822155,FALSE,0.73939448595047,10850,3930,6650,0.0247773292251733,0.0009249312170232,0.229241959564837,247.847575414991,0.00114380190859375,147134401,867,54025811968,1009497600,231419208,933715.84375,1.23663456,"PB",249,"FFAE6F",6,FALSE,734881840,1,890,3,867,"Parabrachial nucleus",NA,NA,1,1132,"Parabrachial nucleus",891,8,"/997/8/343/1065/771/1132/867/",1848997307,8690
"35",3,633822191,FALSE,0,0,0,0,0,0,0,0,0,147134401,914,1614409088,10499400,0,0,0.012861765,"PD",255,"FF5547",6,FALSE,734881840,1,746,3,914,"Posterodorsal preoptic nucleus",NA,NA,1,141,"Posterodorsal preoptic nucleus",747,8,"/997/8/343/1129/1097/141/914/",2759126254,8690
"36",1,633821112,FALSE,0,0,0,0,0,0,0,0,0,147134401,664,55881310208,442416608,0,0,0.5419603448,"ENTm3",931,"32B825",9,FALSE,734881840,1,512,3,664,"Entorhinal area, medial part, dorsal zone, layer 3",NA,NA,1,926,"Entorhinal area medial part dorsal zone layer 3",513,11,"/997/8/567/688/695/1089/822/909/926/664/",1637749653,8690
"37",3,633821653,FALSE,0.407753318548203,12080,5940,4830,0.0105712157561913,0.000159364667352301,0.0463086760768855,290.583081220335,0.000488001618261719,147134401,136,305061216256,2499730176,115759195,398368.66796875,3.0621694656,"IRN",865,"FFB3D9",6,FALSE,734881840,1,978,3,136,"Intermediate reticular nucleus",NA,NA,1,370,"Intermediate reticular nucleus",979,8,"/997/8/343/1065/354/370/136/",484077622,8690
"38",3,633821977,FALSE,0.283553570508957,9230,6400,4230,0.000985479532439615,5.70107007292652e-05,0.0144368208716325,253.230019749988,4.54929326660156e-05,147134401,612,55107663872,651405568,9404225.5,37137.087890625,0.7979718208,"NLL",217,"FFAE6F",6,FALSE,734881840,1,885,3,612,"Nucleus of the lateral lemniscus",NA,NA,1,1132,"Nucleus of the lateral lemniscus",886,8,"/997/8/343/1065/771/1132/612/",3619563008,8690
"39",1,633821190,FALSE,0.200615152716637,4660,5360,5610,9.64084981343385e-05,1.94463973457459e-05,0.00530585506930947,272.845123291016,4.45052907714844e-06,147134401,564,26151389184,186825600,991269.5625,3633.0849609375,0.22886136,"MS",211,"96A7D3",7,FALSE,734881840,1,617,3,564,"Medial septal nucleus",NA,NA,1,904,"Medial septal nucleus",618,9,"/997/8/567/623/803/826/904/564/",239662904,8690
"40",1,633821324,FALSE,0,0,0,0,0,0,0,0,0,147134401,336,986343168,12548700,0,0,0.0153721575,"csc",607,"CCCCCC",4,FALSE,734881840,1,1115,3,336,"superior colliculus commissure",NA,NA,1,848,"superior colliculus commissure",1116,9,"/997/1009/967/848/336/",4201356620,8690
"41",3,633822335,FALSE,0.531749427318573,8210,5980,4070,0.0537158473388146,9.48389021364604e-05,0.0203852233074051,214.945795956953,0.00247969779751098,147134401,1080,2797456957440,21344016584,435102544.341797,2024243.10000896,26.1464203154,"HIP",134,"7ED04B",6,FALSE,734881840,1,455,3,1080,"Hippocampal region",NA,NA,1,1089,"Hippocampal region",456,6,"/997/8/567/688/695/1089/1080/",190910866,8690
"42",2,633820542,FALSE,0.23423907160759,8610,3480,8140,0.000672795058320315,3.96167648885663e-05,0.00751085498465466,189.587792081992,3.10584028167725e-05,147134401,1008,55619796480,639976492,4806770.625,25353.7982177734,0.7839712027,"GENd",125,"FF8084",6,FALSE,734881840,1,657,3,1008,"Geniculate group, dorsal thalamus",NA,NA,1,864,"Geniculate group dorsal thalamus",658,7,"/997/8/343/1129/549/864/1008/",4155059555,8690
"43",3,633822288,FALSE,0.540603876113892,440,5260,5890,0.088171536981299,0.0010853738788171,0.239490800382814,220.652813797051,0.004070284225,147134401,1016,210099478528,3061323904,733158912,3322681,3.7501217824,"onl",692,"CCCCCC",4,FALSE,734881840,1,1106,3,1016,"olfactory nerve layer of main olfactory bulb",NA,NA,1,840,"olfactory nerve layer of main olfactory bulb",1107,9,"/997/1009/967/840/1016/",3450858286,8690
"44",1,633821480,FALSE,0.219903632998466,6470,6740,4210,0.00248009469138992,0.000297837163088843,0.0538294985890388,180.734664916992,0.000114489217773437,147134401,125,3557555200,313797600,16891568,93460.5859375,0.38440206,"opt",581,"CCCCCC",4,FALSE,734881840,1,1117,3,125,"optic tract",NA,NA,1,848,"optic tract",1118,9,"/997/1009/967/848/125/",473050819,8690
"45",2,633820469,FALSE,0.0573970414698124,7550,4710,6910,7.00773793348596e-05,8.5299396320689e-06,0.00147254252453939,172.632232824165,3.23499920043945e-06,147134401,932,9699582864,309593712,455889.90625,2640.81567382812,0.3792522972,"cett",540,"CCCCCC",4,FALSE,734881840,1,1150,3,932,"cervicothalamic tract",NA,NA,1,792,"cervicothalamic tract",1151,8,"/997/1009/967/792/932/",2955091529,8690
"46",1,633821024,FALSE,0.343534886837006,10390,3440,4860,0.00633265444316899,0.000112982110294979,0.0268263909965754,237.439270019531,0.00029233587578125,147134401,795,136154456448,2112206336,56662872,238641.53125,2.5874527616,"PAG",240,"FF90FF",5,FALSE,734881840,1,838,3,795,"Periaqueductal gray",NA,NA,1,323,"Periaqueductal gray",839,8,"/997/8/343/313/323/795/",3260726339,8690
"47",1,633821321,FALSE,0.43776947259903,10070,1620,4630,0.00445075822785269,5.43571041254392e-05,0.0112554128005408,207.0642463691,0.000205461440554905,147134401,339,390910932760,3085587940,34729565.9970703,167723.62494278,3.7798452265,"MBsen",183,"FF7AFF",4,FALSE,734881840,1,807,3,339,"Midbrain, sensory related",NA,NA,1,313,"Midbrain sensory related",808,6,"/997/8/343/313/339/",3898370247,8690
"48",1,633821231,FALSE,0,0,0,0,0,0,0,0,0,147134401,488,1047416832,19680300,0,0,0.0241083675,"ORBl6b",626,"248A5E",8,FALSE,734881840,1,263,3,488,"Orbital area, lateral part, layer 6b",NA,NA,1,723,"Orbital area lateral part layer 6b",264,11,"/997/8/567/688/695/315/714/723/488/",2004888123,8690
"49",1,633820940,FALSE,0.279668480157852,9040,4850,750,0.0174844489302263,0.000128473451791834,0.0248393618195044,193.34237130759,0.000807138891982937,147134401,909,576594980864,5128599584,127391140.694336,658888.891414642,6.2825344904,"ENT",113,"32B825",7,FALSE,734881840,1,493,3,909,"Entorhinal area",NA,NA,1,822,"Entorhinal area",494,8,"/997/8/567/688/695/1089/822/909/",2103154195,8690
"50",3,633822295,FALSE,0.00892582722008228,7750,3780,1310,4.24388634852018e-07,2.93876239435393e-08,6.88441646646376e-06,234.262439171346,1.95911563396454e-08,147134401,1023,83885424640,544201216,3746.5078125,15.9927806854248,0.6666464896,"AUDv5",976,"019399",8,FALSE,734881840,1,154,3,1023,"Ventral auditory area, layer 5",NA,NA,1,1018,"Ventral auditory area layer 5",155,11,"/997/8/567/688/695/315/247/1018/1023/",2273079219,8690
"51",1,633820848,FALSE,0,0,0,0,0,0,0,0,0,147134401,1005,2040567808,24860700,0,0,0.0304543575,"AUDp6b",1115,"019399",8,FALSE,734881840,1,142,3,1005,"Primary auditory area, layer 6b",NA,NA,1,1002,"Primary auditory area layer 6b",143,11,"/997/8/567/688/695/315/247/1002/1005/",2706692830,8690
"52",2,633820033,FALSE,0,0,0,0,0,0,0,0,0,147134401,305,4614811648,74012400,0,0,0.09066519,"VISp6b",462,"08858C",8,FALSE,734881840,1,191,3,305,"Primary visual area, layer 6b",NA,NA,1,385,"Primary visual area layer 6b",192,11,"/997/8/567/688/695/315/669/385/305/",430767143,8690
"53",2,633820306,FALSE,0.0585871860384941,7420,4760,6710,4.80132605334463e-05,1.41855219672144e-06,0.0002607464850734,183.811695950306,2.21644788818359e-06,147134401,709,135998160896,1275487232,332578.8125,1809.34521484375,1.5624718592,"VP",371,"FF8084",7,FALSE,734881840,1,646,3,709,"Ventral posterior complex of the thalamus",NA,NA,1,637,"Ventral posterior complex of the thalamus",647,8,"/997/8/343/1129/549/864/637/709/",359843477,8690
"54",2,633820360,FALSE,0.298514097929001,6920,5230,7170,0.0032454322363065,0.000151011496200226,0.0436811186373234,289.256927490234,0.00014981968203125,147134401,797,108089342976,809883904,35376636,122301.78125,0.9921077824,"ZI",382,"F2483B",6,FALSE,734881840,1,802,3,797,"Zona incerta",NA,NA,1,290,"Zona incerta",803,8,"/997/8/343/1129/1097/290/797/",3420252476,8690
"55",3,633822430,FALSE,0.121721222996712,10240,5690,4100,0.000249123221235257,0.000147524239611668,0.0507245103885777,343.838480524294,1.15003361877441e-05,147134401,549009223,5856824064,63637200,3227965.8125,9388.02954101562,0.07795557,"PC5",NA,"FFBA86",6,FALSE,734881840,1,922,3,549009223,"Parvicellular motor 5 nucleus",NA,NA,1,987,"Parvicellular motor 5 nucleus",923,8,"/997/8/343/1065/771/987/549009223/",2234903594,8690
"56",2,633820053,FALSE,0.351467430591583,6900,1830,9170,0.00491831340402312,6.55038146723005e-05,0.0165065307834631,251.993427650606,0.000227045304498291,147134401,329,436374714368,2829500948,46705244.5,185343.105712891,3.4661386613,"SSp-bfd",748,"188064",8,FALSE,734881840,1,51,3,329,"Primary somatosensory area, barrel field",NA,NA,1,322,"Primary somatosensory area barrel field",52,9,"/997/8/567/688/695/315/453/322/329/",3406319794,8690
"57",2,633820210,FALSE,0,0,0,0,0,0,0,0,0,147134401,587,4055756032,41567400,0,0,0.050920065,"ND",214,"FF90FF",6,FALSE,734881840,1,841,3,587,"Nucleus of Darkschewitsch",NA,NA,1,795,"Nucleus of Darkschewitsch",842,9,"/997/8/343/313/323/795/587/",4174754247,8690
"58",2,633820551,FALSE,0.154243066906929,7120,3060,10690,0.000836144898235061,3.85107835177733e-05,0.00634609702253841,164.787533331011,3.85991614257812e-05,147134401,1018,108529643776,818199908,5192376,31509.51953125,1.0022948873,"AUDv",834,"019399",7,FALSE,734881840,1,150,3,1018,"Ventral auditory area",NA,NA,1,247,"Ventral auditory area",151,8,"/997/8/567/688/695/315/247/1018/",3132221761,8690
"59",1,633820844,FALSE,0.56495064496994,10000,7040,5680,0.143715451558265,0.000260314031038433,0.0555485263466835,213.390441894531,0.0066343715375,147134401,1009,598474288837.239,20804923392,1155682816,5415813.5,25.4860311552,"fiber tracts",691,"CCCCCC",1,FALSE,734881840,1,1101,3,1009,"fiber tracts",NA,NA,1,997,"fiber tracts",1102,1,"/997/1009/",771268094,8690
"60",1,633821447,FALSE,0.3278988301754,8900,4560,5610,0.00606201082442409,0.000692092769813205,0.171877167689162,248.344116837907,0.000279842088220215,147134401,165,35985895552,330075000,56732356.125,228442.520996094,0.404341875,"RAmb",303,"FFA6FF",5,FALSE,734881840,1,868,3,165,"Midbrain raphe nuclei",NA,NA,1,348,"Midbrain raphe nuclei",869,7,"/997/8/343/313/348/165/",364635241,8690
"61",2,633820279,FALSE,0.358781665563583,4520,4460,8500,0.0117298268349941,3.77530959667638e-05,0.011184923350811,296.265075683594,0.00054148686484375,147134401,672,1599866273792,11708446720,130958080,442030.09375,14.342847232,"CP",83,"98D6F9",6,FALSE,734881840,1,573,3,672,"Caudoputamen",NA,NA,1,485,"Caudoputamen",574,8,"/997/8/567/623/477/485/672/",2140591882,8690
"62",2,633820084,FALSE,0,0,0,0,0,0,0,0,0,147134401,368,562620800,5916600,0,0,0.007247835,"PERI6b",894,"0E9684",7,FALSE,734881840,1,372,3,368,"Perirhinal area, layer 6b",NA,NA,1,922,"Perirhinal area layer 6b",373,11,"/997/8/567/688/695/315/922/368/",4014849762,8690
"63",1,633821514,FALSE,0,0,0,0,0,0,0,0,0,147134401,72,6875616256,44788500,0,0,0.0548659125,"ADP",8,"FF5547",6,FALSE,734881840,1,735,3,72,"Anterodorsal preoptic nucleus",NA,NA,1,141,"Anterodorsal preoptic nucleus",736,8,"/997/8/343/1129/1097/141/72/",1069999127,8690
"64",3,633821571,FALSE,0.398936361074448,9080,2390,3820,0.0044508433319959,9.14663955022365e-05,0.0203637151687119,222.636029952814,0.000205465369238281,147134401,10,247207051264,1833753600,37342036,167726.83203125,2.24634816,"SCig",425,"FF90FF",6,FALSE,734881840,1,834,3,10,"Superior colliculus, motor related, intermediate gray layer",NA,NA,1,294,"Superior colliculus motor related intermediate gray layer",835,9,"/997/8/343/313/323/294/10/",4208210812,8690
"65",1,633821017,FALSE,0,0,0,0,0,0,0,0,0,147134401,804,11964391424,108366304,0,0,0.1327487224,"FF",807,"F2483B",7,FALSE,734881840,1,804,3,804,"Fields of Forel",NA,NA,1,797,"Fields of Forel",805,9,"/997/8/343/1129/1097/290/797/804/",89343914,8690
"66",1,633821274,FALSE,0.0153942387551069,10020,6160,3050,6.98360943465384e-06,2.33785044656543e-06,0.000406956591177732,174.072967529297,3.22386070251465e-07,147134401,413,158067856,112570200,45811.18359375,263.172302246094,0.137898495,"vVIIIn",617,"CCCCCC",4,FALSE,734881840,1,1135,3,413,"vestibular nerve",NA,NA,1,933,"vestibular nerve",1136,9,"/997/1009/967/933/413/",3018519253,8690
"67",2,633820164,FALSE,0,0,0,0,0,0,0,0,0,147134401,515,25374572544,182888992,0,0,0.2240390152,"MPN",205,"FF4C3E",6,FALSE,734881840,1,776,3,515,"Medial preoptic nucleus",NA,NA,1,467,"Medial preoptic nucleus",777,8,"/997/8/343/1129/1097/467/515/",1542829951,8690
"68",1,633821168,FALSE,0,0,0,0,0,0,0,0,0,147134401,595,1670909568,75429904,0,0,0.0924016324,"fr",498,"CCCCCC",5,FALSE,734881840,1,1286,3,595,"fasciculus retroflexus",NA,NA,1,1083,"fasciculus retroflexus",1287,9,"/997/1009/991/824/1083/595/",3233680072,8690
"69",1,633820798,FALSE,0.243107482790947,11290,7150,4900,0.000272354184094736,0.000241412795730866,0.0537125952541828,222.492752075195,1.25727528076172e-05,147134401,1069,2253153536,42514200,2283548,10263.4716796875,0.052079895,"PPY",274,"FFB3D9",6,FALSE,734881840,1,998,3,1069,"Parapyramidal nucleus",NA,NA,1,370,"Parapyramidal nucleus",999,8,"/997/8/343/1065/354/370/1069/",4065444564,8690
